Warning at line 175, column 9: Unused variable 'ignored'
Warning at line 2092, column 9: Unused variable 'rejected'
Warning at line 2213, column 9: Unused variable 'rejected'
Warning at line 2220, column 13: Unused variable 'rejected'
Warning at line 2258, column 9: Unused variable 'rejected'
Warning at line 2262, column 9: Unused variable 'rejected'
Warning at line 2269, column 13: Unused variable 'rejected'
Warning at line 5384, column 17: Unused variable 'imported'
[shadow-progress] elapsed_ms=0.000 admission_calls=2 admission_ms=15.144 assert_traps=0 full_calls=2 full_ns=15143945 reuse_calls=0 reuse_ns=0 admission_ns=15143945 enter fn=563 pc=153628 name=$shadow_0_diag_location
[shadow-progress] elapsed_ms=0.061 admission_calls=5 admission_ms=15.144 assert_traps=3 full_calls=2 full_ns=15143945 reuse_calls=3 reuse_ns=192 admission_ns=15144137 leave fn=563 pc=153628 name=$shadow_0_diag_location
[shadow-progress] elapsed_ms=0.064 admission_calls=5 admission_ms=15.144 assert_traps=3 full_calls=2 full_ns=15143945 reuse_calls=3 reuse_ns=192 admission_ns=15144137 enter fn=564 pc=153707 name=$shadow_1_diag_location_empty
[shadow-progress] elapsed_ms=0.067 admission_calls=8 admission_ms=15.144 assert_traps=6 full_calls=2 full_ns=15143945 reuse_calls=6 reuse_ns=272 admission_ns=15144217 leave fn=564 pc=153707 name=$shadow_1_diag_location_empty
[shadow-progress] elapsed_ms=0.069 admission_calls=8 admission_ms=15.144 assert_traps=6 full_calls=2 full_ns=15143945 reuse_calls=6 reuse_ns=272 admission_ns=15144217 enter fn=565 pc=153763 name=$shadow_2_diag_error
[shadow-progress] elapsed_ms=0.072 admission_calls=10 admission_ms=15.144 assert_traps=8 full_calls=2 full_ns=15143945 reuse_calls=8 reuse_ns=320 admission_ns=15144265 leave fn=565 pc=153763 name=$shadow_2_diag_error
[shadow-progress] elapsed_ms=0.074 admission_calls=10 admission_ms=15.144 assert_traps=8 full_calls=2 full_ns=15143945 reuse_calls=8 reuse_ns=320 admission_ns=15144265 enter fn=566 pc=153855 name=$shadow_3_diag_warning
[shadow-progress] elapsed_ms=0.077 admission_calls=12 admission_ms=15.144 assert_traps=10 full_calls=2 full_ns=15143945 reuse_calls=10 reuse_ns=384 admission_ns=15144329 leave fn=566 pc=153855 name=$shadow_3_diag_warning
[shadow-progress] elapsed_ms=0.079 admission_calls=12 admission_ms=15.144 assert_traps=10 full_calls=2 full_ns=15143945 reuse_calls=10 reuse_ns=384 admission_ns=15144329 enter fn=567 pc=153913 name=$shadow_4_diag_parser_error
[shadow-progress] elapsed_ms=0.082 admission_calls=14 admission_ms=15.144 assert_traps=12 full_calls=2 full_ns=15143945 reuse_calls=12 reuse_ns=432 admission_ns=15144377 leave fn=567 pc=153913 name=$shadow_4_diag_parser_error
[shadow-progress] elapsed_ms=0.084 admission_calls=14 admission_ms=15.144 assert_traps=12 full_calls=2 full_ns=15143945 reuse_calls=12 reuse_ns=432 admission_ns=15144377 enter fn=568 pc=154000 name=$shadow_5_diag_list_new
[shadow-progress] elapsed_ms=0.087 admission_calls=15 admission_ms=15.144 assert_traps=13 full_calls=2 full_ns=15143945 reuse_calls=13 reuse_ns=464 admission_ns=15144409 leave fn=568 pc=154000 name=$shadow_5_diag_list_new
[shadow-progress] elapsed_ms=0.088 admission_calls=15 admission_ms=15.144 assert_traps=13 full_calls=2 full_ns=15143945 reuse_calls=13 reuse_ns=464 admission_ns=15144409 enter fn=569 pc=154028 name=$shadow_6_diag_list_add
[shadow-progress] elapsed_ms=0.091 admission_calls=16 admission_ms=15.144 assert_traps=14 full_calls=2 full_ns=15143945 reuse_calls=14 reuse_ns=496 admission_ns=15144441 leave fn=569 pc=154028 name=$shadow_6_diag_list_add
[shadow-progress] elapsed_ms=0.093 admission_calls=16 admission_ms=15.144 assert_traps=14 full_calls=2 full_ns=15143945 reuse_calls=14 reuse_ns=496 admission_ns=15144441 enter fn=570 pc=154094 name=$shadow_7_diag_list_has_errors
[shadow-progress] elapsed_ms=15.151 admission_calls=21 admission_ms=30.186 assert_traps=17 full_calls=4 full_ns=30185378 reuse_calls=17 reuse_ns=576 admission_ns=30185954 leave fn=570 pc=154094 name=$shadow_7_diag_list_has_errors
[shadow-progress] elapsed_ms=15.154 admission_calls=21 admission_ms=30.186 assert_traps=17 full_calls=4 full_ns=30185378 reuse_calls=17 reuse_ns=576 admission_ns=30185954 enter fn=571 pc=154208 name=$shadow_8_diag_make_type_error
[shadow-progress] elapsed_ms=15.170 admission_calls=22 admission_ms=30.186 assert_traps=18 full_calls=4 full_ns=30185378 reuse_calls=18 reuse_ns=608 admission_ns=30185986 leave fn=571 pc=154208 name=$shadow_8_diag_make_type_error
[shadow-progress] elapsed_ms=15.171 admission_calls=22 admission_ms=30.186 assert_traps=18 full_calls=4 full_ns=30185378 reuse_calls=18 reuse_ns=608 admission_ns=30185986 enter fn=572 pc=154237 name=$shadow_9_diag_make_undefined_error
[shadow-progress] elapsed_ms=15.174 admission_calls=23 admission_ms=30.186 assert_traps=19 full_calls=4 full_ns=30185378 reuse_calls=19 reuse_ns=624 admission_ns=30186002 leave fn=572 pc=154237 name=$shadow_9_diag_make_undefined_error
[shadow-progress] elapsed_ms=15.176 admission_calls=23 admission_ms=30.186 assert_traps=19 full_calls=4 full_ns=30185378 reuse_calls=19 reuse_ns=624 admission_ns=30186002 enter fn=573 pc=154261 name=$shadow_10_diag_new
[shadow-progress] elapsed_ms=15.178 admission_calls=24 admission_ms=30.186 assert_traps=20 full_calls=4 full_ns=30185378 reuse_calls=20 reuse_ns=656 admission_ns=30186034 leave fn=573 pc=154261 name=$shadow_10_diag_new
[shadow-progress] elapsed_ms=15.180 admission_calls=24 admission_ms=30.186 assert_traps=20 full_calls=4 full_ns=30185378 reuse_calls=20 reuse_ns=656 admission_ns=30186034 enter fn=574 pc=154345 name=$shadow_11_diag_simple
[shadow-progress] elapsed_ms=15.182 admission_calls=25 admission_ms=30.186 assert_traps=21 full_calls=4 full_ns=30185378 reuse_calls=21 reuse_ns=688 admission_ns=30186066 leave fn=574 pc=154345 name=$shadow_11_diag_simple
[shadow-progress] elapsed_ms=15.185 admission_calls=25 admission_ms=30.186 assert_traps=21 full_calls=4 full_ns=30185378 reuse_calls=21 reuse_ns=688 admission_ns=30186066 enter fn=575 pc=154395 name=$shadow_12_diag_error_simple
