NSType checking failed
Diagnostics:
  [E0001] I require valid expression facts even when their result is unused. Function=__nano_module___9_parser_mark_unary; node_kind=6; node_id=887; inferred_kind=17; inferred_name=list_ASTBinaryOp_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/parser.nano:1639:5)
  [E0001] I require valid expression facts even when their result is unused. Function=__nano_module___9_parse_primary; node_kind=6; node_id=1267; inferred_kind=17; inferred_name=list_ASTCall_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/parser.nano:2674:13)
  [E0001] I require valid expression facts even when their result is unused. Function=__nano_module___9_parser_mark_if_expression; node_kind=6; node_id=1691; inferred_kind=17; inferred_name=list_ASTIf_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/parser.nano:3718:5)
  [E0001] I require valid expression facts even when their result is unused. Function=__nano_module___9_parser_mark_owned; node_kind=6; node_id=1783; inferred_kind=17; inferred_name=list_ASTLet_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/parser.nano:5041:5)
  [E0001] I require valid expression facts even when their result is unused. Function=__nano_module___9_parser_mark_passive; node_kind=6; node_id=2201; inferred_kind=17; inferred_name=list_ASTBlock_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/parser.nano:6024:5)
  [E0001] I require valid expression facts even when their result is unused. Function=__nano_module___9_parser_mark_pure; node_kind=6; node_id=2277; inferred_kind=17; inferred_name=list_ASTFunction_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/parser.nano:6151:5)
  [E0001] I require valid expression facts even when their result is unused. Function=__nano_module___9_parser_set_let_var_type; node_kind=6; node_id=2929; inferred_kind=17; inferred_name=list_ASTLet_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/parser.nano:8403:5)
  [E0001] I require valid expression facts even when their result is unused. Function=__nano_module___9_parser_set_array_literal_element_type; node_kind=6; node_id=2973; inferred_kind=17; inferred_name=list_ASTArrayLiteral_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/parser.nano:8615:5)
  [E0001] I require valid expression facts even when their result is unused. Function=__nano_module___20_nb_rewrite; node_kind=6; node_id=7884; inferred_kind=17; inferred_name=list_ASTStruct_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/compiler/nominal_bindings.nano:190:9)
  [E0001] I require valid expression facts even when their result is unused. Function=__nano_module___20_nb_rewrite; node_kind=6; node_id=7887; inferred_kind=17; inferred_name=list_ASTStructLiteral_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/compiler/nominal_bindings.nano:196:9)
  [E0001] I require valid expression facts even when their result is unused. Function=__nano_module___20_nb_rewrite; node_kind=6; node_id=7890; inferred_kind=17; inferred_name=list_ASTLet_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/compiler/nominal_bindings.nano:202:9)
  [E0001] I require valid expression facts even when their result is unused. Function=__nano_module___20_nb_rewrite; node_kind=6; node_id=7893; inferred_kind=17; inferred_name=list_ASTFunction_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/compiler/nominal_bindings.nano:208:9)
  [E0001] I require valid expression facts even when their result is unused. Function=__nano_module___20_nb_rewrite; node_kind=6; node_id=7896; inferred_kind=17; inferred_name=list_ASTArrayLiteral_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/compiler/nominal_bindings.nano:214:9)
  [E0001] I require valid expression facts even when their result is unused. Function=__nano_module___20_nb_rewrite; node_kind=6; node_id=7899; inferred_kind=17; inferred_name=list_ASTUnion_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/compiler/nominal_bindings.nano:220:9)
  [E0001] I require every array literal member to match its complete destination type. (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/compiler/nanoisa_borrows.nano:1532:36)
  [E0001] I require valid expression facts even when their result is unused. Function=bind_merged_functions; node_kind=6; node_id=18632; inferred_kind=17; inferred_name=list_ASTFunction_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/nanoc_v06.nano:1023:9)
  [E0001] I require valid expression facts even when their result is unused. Function=bind_merged_functions; node_kind=6; node_id=18660; inferred_kind=17; inferred_name=list_ASTShadow_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/nanoc_v06.nano:1072:9)
  [E0001] I require valid expression facts even when their result is unused. Function=remap_diagnostics; node_kind=6; node_id=18678; inferred_kind=17; inferred_name=list_CompilerDiagnostic_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/nanoc_v06.nano:1116:9)
  [E0001] I require valid expression facts even when their result is unused. Function=shadow __nano_module___17_check_constructor_argument; node_kind=6; node_id=5861; inferred_kind=17; inferred_name=list_ASTUnionConstruct_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/typecheck.nano:4094:5)
  [E0001] I require valid expression facts even when their result is unused. Function=shadow __nano_module___25_nisa_ordinary_publication; node_kind=6; node_id=14702; inferred_kind=17; inferred_name=list_ASTStruct_set (/home/jkh/Src/nanolang-record-lists-qualified-cb489/src_nano/compiler/nanoisa_codegen.nano:252:5)
